Company,TypeName,Inches,Price,Ram(GB),Weight(kg),Cpu(processor),"Gpu(I,N,A)Brand",SSD,HDD,X_res,Y_res,TouchScreen,Ips_display,OS,PPI,Resolution
Dell,Notebook,15.6,11.757534260666516,16,2.06,Intel Core i7,Nvidia,512,0,3840,2160,1,0,Windows,282.42399616439724,3840x2160
Lenovo,Gaming,15.6,10.633572072102885,8,2.4,Intel Core i5,Nvidia,256,0,1920,1080,0,1,Other,141.21199808219862,1920x1080
Acer,Ultrabook,13.3,10.872255357854844,8,1.12,Intel Core i5,Intel,256,0,1920,1080,0,1,Windows,165.6321180513006,1920x1080
Dell,Notebook,17.3,10.964896292206694,8,2.8,Intel Core i7,AMD,128,1000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Lenovo,2 in 1 Convertible,14.0,11.921470624845266,16,1.42,Intel Core i7,Intel,1000,0,2560,1440,1,0,Windows,209.8006828649808,2560x1440
Vero,Notebook,14.0,9.536242657247662,4,1.3,Intel Celeron,Intel,0,0,1920,1080,0,1,Windows,157.3505121487356,1920x1080
Xiaomi,Ultrabook,13.3,10.883216300213936,8,1.3,Intel Core i5,Nvidia,256,0,1920,1080,0,1,Other,165.6321180513006,1920x1080
Lenovo,Notebook,17.3,10.523780128994506,8,2.8,Intel Core i5,Nvidia,256,0,1600,900,0,0,Other,106.11306214269258,1600x900
Dell,2 in 1 Convertible,13.3,10.70777173269934,8,1.62,Intel Core i7,Intel,0,1000,1920,1080,1,1,Windows,165.6321180513006,1920x1080
HP,Notebook,17.3,10.793391597686284,8,2.5,Intel Core i5,Nvidia,0,1000,1920,1080,0,1,Windows,127.33567457123112,1920x1080
Razer,Gaming,17.3,12.69144112852859,32,3.49,Intel Core i7,Nvidia,1000,0,3840,2160,1,0,Windows,254.67134914246225,3840x2160
HP,Notebook,13.3,10.841452101115571,8,1.49,Intel Core i5,Intel,512,0,1920,1080,0,0,Windows,165.6321180513006,1920x1080
HP,Gaming,17.3,11.204674904025437,16,3.35,Intel Core i7,Nvidia,256,1000,1920,1080,0,1,Windows,127.33567457123112,1920x1080
HP,Notebook,17.3,10.927333190631044,8,2.5,Intel Core i7,Nvidia,256,0,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Dell,Gaming,15.6,11.495795582706762,16,2.65,Intel Core i7,Nvidia,512,1000,3840,2160,0,1,Windows,282.42399616439724,3840x2160
Lenovo,Notebook,15.6,10.176070200274824,4,2.1,Intel Core i5,Intel,128,0,1366,768,0,0,Windows,100.45466986113652,1366x768
Acer,Notebook,15.6,10.584910269399517,8,2.23,Intel Core i7,Nvidia,0,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Lenovo,Gaming,15.6,11.442360501250736,16,3.2,Intel Core i7,Nvidia,512,1000,1920,1080,0,1,Windows,141.21199808219862,1920x1080
Dell,Workstation,15.6,12.000095897837827,16,2.8,Other Intel,Nvidia,256,1000,3840,2160,0,0,Windows,282.42399616439724,3840x2160
Lenovo,Gaming,15.6,11.21835894902589,16,2.4,Intel Core i7,Nvidia,512,0,1920,1080,0,0,Other,141.21199808219862,1920x1080
Dell,Notebook,15.6,10.060060439307303,6,2.3,Intel Core i3,Intel,0,1000,1366,768,1,0,Windows,100.45466986113652,1366x768
Dell,Ultrabook,13.3,11.550632725739694,8,1.21,Intel Core i7,Intel,256,0,3840,2160,1,1,Windows,331.2642361026012,3840x2160
Dell,Ultrabook,13.3,11.254189968552817,8,1.2,Intel Core i7,Intel,256,0,1920,1080,0,0,Windows,165.6321180513006,1920x1080
Lenovo,Notebook,15.6,10.367478139624737,8,2.2,Intel Core i5,Intel,256,0,1366,768,0,0,Windows,100.45466986113652,1366x768
Acer,Notebook,15.6,10.633572072102885,8,2.4,Intel Core i7,Nvidia,0,1000,1920,1080,0,0,Linux,141.21199808219862,1920x1080
Asus,Gaming,17.3,11.224776083346525,16,2.9,Intel Core i7,Nvidia,256,1000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
HP,Notebook,15.6,9.83063294843456,4,2.1,Intel Core i3,Intel,0,500,1920,1080,0,0,Other,141.21199808219862,1920x1080
Lenovo,Notebook,15.6,10.283659467741664,8,2.2,Intel Core i5,Intel,256,0,1920,1080,0,0,Other,141.21199808219862,1920x1080
Huawei,Ultrabook,13.0,11.288114524334732,8,1.05,Intel Core i7,Intel,512,0,2160,1440,0,1,Windows,199.69207064108247,2160x1440
Dell,Ultrabook,13.3,10.812765077263236,8,1.4,Intel Core i7,AMD,256,0,1920,1080,0,1,Windows,165.6321180513006,1920x1080
Lenovo,Notebook,17.3,10.35398720988372,8,2.8,Intel Core i5,Nvidia,0,1000,1600,900,0,0,Other,106.11306214269258,1600x900
HP,Notebook,14.0,10.913845510249091,8,1.63,Intel Core i7,Nvidia,256,0,1920,1080,0,0,Windows,157.3505121487356,1920x1080
Dell,Ultrabook,14.0,11.02220830408089,8,1.6,Intel Core i5,Intel,256,0,1920,1080,0,0,Windows,157.3505121487356,1920x1080
Dell,2 in 1 Convertible,13.3,11.129394827810977,16,1.62,Intel Core i7,Intel,512,0,1920,1080,1,0,Windows,165.6321180513006,1920x1080
Dell,Notebook,15.6,10.49374915225888,8,2.2,Intel Core i5,AMD,256,0,1920,1080,0,0,Linux,141.21199808219862,1920x1080
Lenovo,2 in 1 Convertible,14.0,10.776844060703754,8,1.74,Intel Core i5,Intel,256,0,1920,1080,0,1,Windows,157.3505121487356,1920x1080
Toshiba,Ultrabook,13.3,11.193004457928666,8,1.2,Intel Core i7,Intel,256,0,1920,1080,0,0,Windows,165.6321180513006,1920x1080
HP,Notebook,15.6,10.65264448747927,8,2.1,Intel Core i5,Intel,0,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Dell,Gaming,17.3,11.781988742399806,16,4.42,Intel Core i7,Nvidia,256,1000,1920,1080,0,1,Windows,127.33567457123112,1920x1080
Acer,Notebook,15.6,10.699393467053342,8,2.2,Intel Core i7,Nvidia,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Dell,Notebook,15.6,10.731341589592168,16,2.3,Intel Core i7,AMD,0,1000,1920,1080,1,0,Windows,141.21199808219862,1920x1080
Asus,Notebook,15.6,10.620651995737775,8,2.0,Intel Core i5,Nvidia,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Asus,Notebook,17.3,10.767905453702944,8,2.69,Intel Core i5,Nvidia,256,500,1920,1080,0,0,Windows,127.33567457123112,1920x1080
HP,Notebook,15.6,11.12154549394652,8,1.9,Intel Core i7,AMD,0,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Asus,Notebook,15.6,9.964497380151284,4,2.37,Intel Core i3,Intel,0,1000,1366,768,0,0,Windows,100.45466986113652,1366x768
HP,Notebook,15.6,9.77465368069266,4,2.1,AMD,AMD,0,500,1366,768,0,0,Windows,100.45466986113652,1366x768
Lenovo,Gaming,15.6,11.288114524334732,16,3.2,Intel Core i7,Nvidia,256,1000,1920,1080,0,1,Windows,141.21199808219862,1920x1080
Dell,Notebook,14.0,10.73132994821639,8,1.6,Intel Core i5,Intel,256,0,1920,1080,0,0,Windows,157.3505121487356,1920x1080
Acer,2 in 1 Convertible,13.3,10.510802297245792,8,1.6,Intel Core i5,Intel,256,0,1920,1080,1,1,Windows,165.6321180513006,1920x1080
Dell,Notebook,15.6,10.776844060703754,16,2.36,Intel Core i7,AMD,256,0,1920,1080,0,0,Linux,141.21199808219862,1920x1080
Acer,Notebook,15.6,9.941707765355826,4,2.1,Intel Core i3,Intel,0,1000,1366,768,0,0,Linux,100.45466986113652,1366x768
Asus,Notebook,15.6,10.329931067029484,4,2.2,AMD,AMD,128,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Asus,Gaming,17.3,12.241725462844624,32,4.7,Intel Core i7,Nvidia,512,1000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Acer,Gaming,15.6,10.716080385838357,8,2.5,Intel Core i5,Nvidia,256,0,1920,1080,0,1,Windows,141.21199808219862,1920x1080
Lenovo,Notebook,15.6,10.35398720988372,8,2.2,Intel Core i3,Intel,128,0,1366,768,0,0,Windows,100.45466986113652,1366x768
Asus,Notebook,17.3,11.018720942220474,8,2.1,Intel Core i7,Nvidia,128,1000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Asus,Notebook,17.3,10.765658261746038,8,2.69,Intel Core i7,Nvidia,128,1000,1920,1080,0,0,Other,127.33567457123112,1920x1080
Dell,Gaming,15.6,10.754345923917311,8,2.56,Intel Core i5,Nvidia,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Lenovo,2 in 1 Convertible,13.9,10.959350991490268,8,1.38,Intel Core i7,Intel,256,0,1920,1080,1,1,Windows,158.48253022174808,1920x1080
Dell,Notebook,15.6,10.868202667404224,8,2.2,Intel Core i7,AMD,128,2000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
HP,Notebook,15.6,10.301710499387234,8,2.04,Intel Core i5,Intel,0,1000,1366,768,1,0,Windows,100.45466986113652,1366x768
Asus,Gaming,17.3,11.981595204981144,16,3.6,Intel Core i7,Nvidia,256,0,1920,1080,0,0,Windows,127.33567457123112,1920x1080
HP,Notebook,13.3,10.490273717104664,4,1.49,Intel Core i5,Intel,0,500,1920,1080,0,1,Windows,165.6321180513006,1920x1080
Apple,Ultrabook,13.3,11.596266113070396,8,1.37,Intel Core i5,Intel,512,0,2560,1600,0,1,Mac,226.98300468106115,2560x1600
Dell,2 in 1 Convertible,15.6,10.683645110085203,8,2.08,Intel Core i7,Intel,0,1000,1920,1080,1,1,Windows,141.21199808219862,1920x1080
Asus,Gaming,17.3,11.470547260182666,16,4.3,Intel Core i7,Nvidia,256,1000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Asus,Notebook,15.6,10.126163794678414,4,1.68,AMD,AMD,0,1000,1366,768,0,0,Windows,100.45466986113652,1366x768
Lenovo,2 in 1 Convertible,13.9,11.49796125761926,8,1.37,Intel Core i7,Intel,512,0,1920,1080,1,1,Windows,158.48253022174808,1920x1080
Acer,Notebook,17.3,10.529494430257945,4,3.0,Intel Core i3,Nvidia,256,0,1920,1080,0,1,Windows,127.33567457123112,1920x1080
Dell,Ultrabook,13.3,10.83096982484206,8,1.41,Intel Core i5,Intel,256,0,1920,1080,0,0,Windows,165.6321180513006,1920x1080
HP,Notebook,15.6,10.075655737865564,8,1.91,AMD,AMD,128,0,1366,768,0,0,Windows,100.45466986113652,1366x768
HP,Notebook,17.3,10.94064137183354,16,2.9,Intel Core i7,Nvidia,0,1000,1920,1080,0,1,Windows,127.33567457123112,1920x1080
MSI,Gaming,17.3,11.799206957067089,16,4.14,Intel Core i7,Nvidia,512,1000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Lenovo,2 in 1 Convertible,15.6,11.413356147904066,8,2.0,Intel Core i7,Nvidia,512,0,1920,1080,1,1,Windows,141.21199808219862,1920x1080
Dell,Notebook,17.3,11.016097416448089,8,2.8,Intel Core i7,AMD,128,1000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Lenovo,Notebook,15.6,10.07138558866436,4,2.2,Intel Core i3,Intel,256,0,1920,1080,0,0,Other,141.21199808219862,1920x1080
HP,Notebook,15.6,10.55758616512496,4,2.1,Intel Core i5,Intel,0,500,1920,1080,0,1,Windows,141.21199808219862,1920x1080
Dell,Notebook,15.6,10.463245044716745,4,2.18,Intel Core i5,Intel,0,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Dell,Notebook,15.6,10.312386757378574,8,2.24,Intel Core i5,AMD,0,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Dell,2 in 1 Convertible,15.6,10.658921971998408,8,2.67,Intel Core i5,Intel,256,0,1920,1080,1,0,Windows,141.21199808219862,1920x1080
Asus,2 in 1 Convertible,13.3,11.288114524334732,8,1.1,Intel Core i7,Intel,1024,0,1920,1080,1,0,Windows,165.6321180513006,1920x1080
Lenovo,Notebook,15.6,10.121890283901031,4,2.2,Intel Core i5,Intel,0,1000,1920,1080,0,0,Other,141.21199808219862,1920x1080
HP,Notebook,17.3,10.901156223342602,8,2.5,Intel Core i7,Nvidia,0,1000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Lenovo,Notebook,15.6,10.755482933704386,8,2.05,Intel Core i7,Intel,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Apple,Ultrabook,13.3,11.555699396421488,8,1.37,Intel Core i5,Intel,512,0,2560,1600,0,1,Mac,226.98300468106115,2560x1600
Asus,Gaming,17.3,11.320925866649002,16,3.2,AMD,AMD,256,1000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Dell,Notebook,15.6,10.57552675900535,8,2.14,Intel Core i7,AMD,256,0,1920,1080,0,0,Linux,141.21199808219862,1920x1080
Lenovo,2 in 1 Convertible,14.0,11.799206957067089,16,1.36,Intel Core i7,Intel,512,0,2560,1440,1,0,Windows,209.8006828649808,2560x1440
Toshiba,Notebook,15.6,10.675061366393813,8,2.2,Intel Core i7,Nvidia,0,500,1366,768,0,0,Windows,100.45466986113652,1366x768
Dell,Notebook,15.6,10.545140618545505,12,2.3,Intel Core i7,Intel,0,1000,1366,768,0,0,Windows,100.45466986113652,1366x768
Dell,Notebook,17.3,10.977716980635757,8,2.8,Intel Core i7,AMD,128,1000,1920,1080,0,0,Linux,127.33567457123112,1920x1080
Acer,Notebook,15.6,10.588945244611692,8,2.2,Intel Core i7,Nvidia,0,1000,1920,1080,0,1,Windows,141.21199808219862,1920x1080
Lenovo,Notebook,17.3,10.167923515707006,4,2.8,Intel Core i3,Intel,0,1000,1600,900,0,0,Windows,106.11306214269258,1600x900
Lenovo,Notebook,17.3,10.71962021254348,8,2.8,Intel Core i7,Nvidia,0,2000,1920,1080,0,0,Other,127.33567457123112,1920x1080
Lenovo,Notebook,17.3,10.73132994821639,6,2.8,Intel Core i7,Nvidia,128,1000,1600,900,0,0,Windows,106.11306214269258,1600x900
Dell,Notebook,15.6,10.034684221813931,4,2.25,Intel Core i3,AMD,0,1000,1920,1080,0,0,Linux,141.21199808219862,1920x1080
Lenovo,Gaming,15.6,10.695781181367428,8,2.5,Intel Core i5,Nvidia,256,0,1920,1080,0,1,Windows,141.21199808219862,1920x1080
Lenovo,Notebook,15.6,10.336863503805128,6,2.2,Intel Core i5,Intel,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Acer,Notebook,15.6,10.833075088777523,8,3.0,Intel Core i7,Nvidia,256,0,1920,1080,0,1,Windows,141.21199808219862,1920x1080
Acer,Notebook,15.6,10.46628456073464,12,2.15,Intel Core i7,Intel,0,1000,1920,1080,1,1,Windows,141.21199808219862,1920x1080
Lenovo,Notebook,15.6,10.975895486507364,8,1.95,Intel Core i7,Intel,256,0,1920,1080,0,1,Windows,141.21199808219862,1920x1080
Asus,Ultrabook,15.6,10.860047678274915,8,1.7,Intel Core i5,Nvidia,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Lenovo,Gaming,15.6,11.047982926769505,16,2.5,Intel Core i7,Nvidia,256,1000,1920,1080,0,1,Windows,141.21199808219862,1920x1080
Lenovo,Notebook,15.6,10.466299735126338,8,2.2,Intel Core i7,Nvidia,0,1000,1920,1080,0,0,Other,141.21199808219862,1920x1080
Acer,Notebook,15.6,9.268865850956626,2,2.19,Intel Celeron,Intel,16,0,1366,768,0,0,Other,100.45466986113652,1366x768
Asus,Gaming,17.3,11.0547454208418,8,3.0,Intel Core i7,Nvidia,0,1000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
HP,Notebook,17.3,10.167923515707006,8,2.54,Intel Core i3,Intel,0,1000,1600,900,0,0,Windows,106.11306214269258,1600x900
Dell,Notebook,15.6,11.487085674623,8,2.0,Intel Core i7,Nvidia,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Lenovo,Notebook,15.6,10.580858947180335,8,2.05,Intel Core i5,Intel,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Lenovo,Gaming,15.6,11.144911042902732,8,3.2,Intel Core i7,Nvidia,0,1000,1920,1080,0,1,Windows,141.21199808219862,1920x1080
Acer,Notebook,15.6,10.862092668762644,8,2.5,Intel Core i7,Nvidia,256,0,1920,1080,0,0,Linux,141.21199808219862,1920x1080
Dell,Workstation,17.3,11.942792677133784,16,3.42,Intel Core i7,Nvidia,256,0,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Lenovo,Notebook,15.6,10.188167121983652,6,2.4,AMD,AMD,0,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Asus,Ultrabook,15.6,11.267217235406594,16,1.63,Intel Core i7,Nvidia,512,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Asus,Notebook,14.0,10.208009042782656,4,1.3,Intel Core i3,Intel,128,0,1366,768,0,0,Windows,111.93520355955212,1366x768
Asus,Gaming,17.3,11.635675345406062,16,2.9,Intel Core i7,Nvidia,256,1000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Lenovo,Notebook,17.3,10.450993742936223,6,2.8,Intel Core i5,Nvidia,0,1000,1600,900,0,0,Windows,106.11306214269258,1600x900
Lenovo,Notebook,15.6,10.283659467741664,8,2.2,Intel Core i5,Nvidia,0,2000,1366,768,0,0,Other,100.45466986113652,1366x768
Asus,Gaming,15.6,11.118388427393754,8,2.5,Intel Core i7,Nvidia,128,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Lenovo,Notebook,15.6,9.861637279518702,4,2.2,Other Intel,Intel,0,1000,1366,768,0,0,Other,100.45466986113652,1366x768
HP,2 in 1 Convertible,13.3,11.563884703567355,16,1.28,Intel Core i7,Intel,256,0,1920,1080,1,0,Windows,165.6321180513006,1920x1080
Toshiba,Notebook,15.6,10.925417481232904,8,2.2,Intel Core i7,Nvidia,256,0,1920,1080,0,1,Windows,141.21199808219862,1920x1080
Lenovo,Notebook,15.6,10.683645110085203,8,2.3,Intel Core i5,Nvidia,128,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
HP,Notebook,15.6,10.126163794678414,4,1.86,Intel Core i3,Intel,0,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Lenovo,Notebook,13.3,10.882315804880689,8,1.1,Intel Core i5,Intel,256,0,1920,1080,0,1,Windows,165.6321180513006,1920x1080
Dell,Ultrabook,13.3,11.799206957067089,16,1.21,Intel Core i7,Intel,1000,0,3840,2160,1,1,Windows,331.2642361026012,3840x2160
MSI,Gaming,15.6,11.624777346052769,16,2.8,Intel Core i7,Nvidia,256,1000,1920,1080,0,1,Windows,141.21199808219862,1920x1080
Acer,Notebook,15.6,10.126163794678414,8,2.23,AMD,AMD,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Asus,2 in 1 Convertible,11.6,9.592332123898704,2,1.1,Intel Celeron,Intel,0,0,1366,768,1,0,Windows,135.0942111925629,1366x768
Dell,Notebook,15.6,10.71371352082809,8,2.33,Intel Core i5,AMD,128,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
HP,2 in 1 Convertible,13.3,11.7789960831843,16,1.29,Intel Core i7,Intel,1000,0,3840,2160,1,1,Windows,331.2642361026012,3840x2160
Lenovo,Notebook,13.3,10.106570100778011,4,1.45,Intel Celeron,Intel,0,0,1366,768,0,0,Other,117.82653006268644,1366x768
HP,Notebook,14.0,10.863113597896753,8,1.95,Intel Core i5,Intel,256,0,1920,1080,0,0,Windows,157.3505121487356,1920x1080
Acer,Notebook,11.6,10.159709917169616,4,1.4,Other Intel,Intel,0,0,1366,768,0,0,Windows,135.0942111925629,1366x768
HP,Notebook,14.0,11.13950771057468,8,1.48,Intel Core i7,Intel,256,0,1920,1080,0,0,Windows,157.3505121487356,1920x1080
Lenovo,Notebook,17.3,10.35398720988372,4,2.79,Intel Core i5,Nvidia,0,1000,1600,900,0,0,Windows,106.11306214269258,1600x900
Asus,Notebook,14.0,10.97315700921406,8,2.0,Intel Core i7,Intel,256,0,1920,1080,0,0,Windows,157.3505121487356,1920x1080
HP,Notebook,15.6,10.780175546294757,8,2.1,Intel Core i7,Intel,0,1000,1366,768,0,1,Windows,100.45466986113652,1366x768
Acer,Notebook,15.6,10.46628456073464,8,2.2,AMD,AMD,256,0,1366,768,0,0,Windows,100.45466986113652,1366x768
Lenovo,Notebook,14.0,9.652314828500415,4,1.44,Intel Celeron,Intel,0,0,1366,768,0,0,Windows,111.93520355955212,1366x768
Acer,Notebook,15.6,10.283659467741664,6,2.23,Intel Core i5,Intel,0,1000,1366,768,0,0,Windows,100.45466986113652,1366x768
Asus,Ultrabook,15.6,10.93201122675303,8,1.7,Intel Core i7,Nvidia,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
HP,Ultrabook,12.5,11.172247597066484,8,1.26,Intel Core i7,Intel,256,0,1920,1080,0,0,Windows,176.23257360658386,1920x1080
Dell,Notebook,15.6,11.853716362735458,32,2.06,Intel Core i7,Nvidia,1000,0,3840,2160,1,0,Windows,282.42399616439724,3840x2160
MSI,Gaming,17.3,11.064804181259648,8,2.7,Intel Core i7,Nvidia,256,1000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Toshiba,Notebook,15.6,10.82462730886559,8,2.0,Intel Core i5,Intel,256,0,1920,1080,0,1,Windows,141.21199808219862,1920x1080
Asus,Notebook,14.0,11.171498252707703,8,2.0,Intel Core i7,Intel,256,1000,1920,1080,0,0,Windows,157.3505121487356,1920x1080
Lenovo,Notebook,15.6,10.082583913974387,4,1.85,Intel Core i3,Intel,0,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Asus,Gaming,15.6,10.882315804880689,8,2.5,Intel Core i7,Nvidia,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
HP,Notebook,14.0,11.120757161229305,8,1.48,Intel Core i5,Intel,256,0,1920,1080,0,0,Windows,157.3505121487356,1920x1080
Dell,Ultrabook,15.6,10.931153634628432,8,1.9,Intel Core i5,Nvidia,128,1000,1920,1080,0,1,Windows,141.21199808219862,1920x1080
HP,Notebook,15.6,11.017847198171877,8,1.84,Intel Core i5,Intel,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Asus,Notebook,15.6,9.592295759601168,4,2.0,Intel Celeron,Intel,0,1000,1366,768,0,0,Linux,100.45466986113652,1366x768
Dell,Notebook,15.6,11.016753943443987,8,2.0,Intel Core i5,Nvidia,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Dell,Notebook,15.6,9.591968421403331,4,2.2,Intel Celeron,Intel,0,500,1366,768,0,0,Linux,100.45466986113652,1366x768
Lenovo,Notebook,15.6,10.776844060703754,12,2.2,AMD,AMD,0,2000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
HP,Notebook,15.6,10.54924119319278,8,2.1,Intel Core i3,Nvidia,0,1000,1920,1080,0,1,Windows,141.21199808219862,1920x1080
Lenovo,2 in 1 Convertible,13.9,11.624777346052769,16,1.4,Intel Core i7,Intel,512,0,3840,2160,1,1,Windows,316.96506044349616,3840x2160
Dell,Ultrabook,13.3,11.340108040487776,8,1.2,Intel Core i7,Intel,256,0,1920,1080,0,0,Windows,165.6321180513006,1920x1080
Lenovo,Gaming,15.6,11.004648590381796,16,2.4,Intel Core i7,Nvidia,256,2000,1920,1080,0,1,Windows,141.21199808219862,1920x1080
HP,Notebook,14.0,9.6067728080535,2,1.44,Intel Celeron,Intel,0,0,1366,768,0,0,Windows,111.93520355955212,1366x768
Dell,Ultrabook,15.6,11.358282600039752,16,1.88,Intel Core i7,Intel,768,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Asus,2 in 1 Convertible,11.6,9.902487052202543,4,1.5,Intel Celeron,Intel,0,0,1366,768,1,0,Windows,135.0942111925629,1366x768
Dell,Ultrabook,15.6,10.472336016417996,8,1.9,Intel Core i5,AMD,0,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Dell,Notebook,15.6,11.590080353983309,16,2.06,Intel Core i7,Nvidia,512,0,3840,2160,1,0,Windows,282.42399616439724,3840x2160
HP,Notebook,15.6,11.148752768718731,8,1.84,Intel Core i7,Intel,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
MSI,Gaming,17.3,11.226196538130814,8,2.7,Intel Core i7,Nvidia,128,1000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
HP,Workstation,15.6,11.436206670969892,8,2.6,Intel Core i7,Nvidia,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Toshiba,Notebook,15.6,11.221929106334594,16,2.4,Intel Core i7,Nvidia,512,0,1920,1080,0,1,Windows,141.21199808219862,1920x1080
Dell,Notebook,15.6,10.853784502608232,8,2.02,Intel Core i7,AMD,128,2000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Lenovo,Notebook,15.6,9.750081515393676,4,2.2,Intel Celeron,Intel,0,1000,1366,768,0,0,Other,100.45466986113652,1366x768
Dell,Gaming,15.6,10.882315804880689,8,2.65,Intel Core i5,Nvidia,0,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Dell,Notebook,15.6,10.298790318518323,8,2.36,Intel Core i5,Intel,0,2000,1366,768,1,0,Windows,100.45466986113652,1366x768
Dell,Notebook,14.0,11.23889064370897,8,1.36,Intel Core i5,Intel,256,0,1920,1080,0,0,Windows,157.3505121487356,1920x1080
HP,Notebook,15.6,10.060060439307303,4,1.86,Intel Core i3,Intel,0,500,1366,768,0,0,Windows,100.45466986113652,1366x768
Asus,Notebook,14.0,10.826745953725876,8,2.0,Intel Core i5,Intel,256,0,1920,1080,0,0,Windows,157.3505121487356,1920x1080
Lenovo,Notebook,17.3,10.55342238395318,6,2.8,Intel Core i5,Nvidia,128,1000,1600,900,0,0,Windows,106.11306214269258,1600x900
HP,Notebook,15.6,10.435465480609668,8,1.86,Intel Core i5,Intel,0,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Lenovo,Notebook,15.6,10.188167121983652,8,2.2,Intel Core i3,Nvidia,256,0,1366,768,0,0,Other,100.45466986113652,1366x768
HP,Notebook,15.6,9.93914036985058,8,2.04,Other Intel,Intel,0,2000,1366,768,0,0,Windows,100.45466986113652,1366x768
Dell,Notebook,17.3,10.964896292206694,8,2.8,Intel Core i5,AMD,128,1000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Lenovo,Gaming,15.6,10.671359943290623,8,2.4,Intel Core i5,Nvidia,128,1000,1920,1080,0,1,Other,141.21199808219862,1920x1080
Dell,Notebook,15.6,10.776844060703754,8,2.33,Intel Core i7,AMD,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
HP,Ultrabook,14.0,11.442932093149691,8,1.36,Intel Core i7,Intel,256,0,1920,1080,0,1,Windows,157.3505121487356,1920x1080
Asus,2 in 1 Convertible,15.6,10.977716980635757,12,2.26,Intel Core i7,Nvidia,512,2000,1920,1080,1,0,Windows,141.21199808219862,1920x1080
Acer,Notebook,15.6,10.030000372501505,4,2.1,AMD,AMD,128,0,1366,768,0,0,Windows,100.45466986113652,1366x768
Asus,Gaming,17.3,11.671319016786894,16,3.25,AMD,AMD,256,1000,1920,1080,0,1,Windows,127.33567457123112,1920x1080
Lenovo,Notebook,17.3,10.167923515707006,4,2.6,AMD,AMD,128,0,1600,900,0,0,Windows,106.11306214269258,1600x900
Dell,2 in 1 Convertible,13.3,10.742915658911176,8,1.62,Intel Core i7,Intel,256,0,1920,1080,1,0,Windows,165.6321180513006,1920x1080
HP,Notebook,15.6,10.167903065600154,4,1.91,AMD,AMD,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Lenovo,Netbook,11.6,10.290919027754468,4,1.59,Intel Celeron,Intel,128,0,1366,768,0,1,Windows,135.0942111925629,1366x768
